,,,,,,,,,
MoleculeName,Shift,Moiety,Multiplicity,RelativeIntegral,Other peaks,Urine,Plasma,Feces,Tissue
1-Methyl-L-histidine,3.97,CH,doublet of doublets,0.09,"3.06(dd), 3.17(dd) 3.69(s), 3.97(dd), 7.0(s), 7.67(s)",,,,
1-Methyl-L-histidine,7,H4,singlet,0.28,"3.06(dd), 3.17(dd) 3.69(s), 3.97(dd), 7.0(s), 7.67(s)",,,,
1-Methyl-L-histidine,7.67,H2,singlet,9.25,"3.06(dd), 3.17(dd) 3.69(s), 3.97(dd), 7.0(s), 7.67(s)",,,,
1-Methylnicotinamide (NMND),4.48,CH3,singlet,1,"4.48(s), 8.19(t), 8.9(d), 8.97(d), 9.28(s)",1,,0,
1-Methylnicotinamide (NMND),8.19,H5,triplet,0.23,"4.48(s), 8.19(t), 8.9(d), 8.97(d), 9.28(s)",1,,0,
1-Methylnicotinamide (NMND),8.9,H4,doublet,0.3,"4.48(s), 8.19(t), 8.9(d), 8.97(d), 9.28(s)",1,,0,
1-Methylnicotinamide (NMND),8.97,H6,doublet,0.31,"4.48(s), 8.19(t), 8.9(d), 8.97(d), 9.28(s)",1,,0,
1-Methylnicotinamide (NMND),9.28,H2,singlet,0.57,"4.48(s), 8.19(t), 8.9(d), 8.97(d), 9.28(s)",1,,0,
1-methylurate,3.29,,singlet,,3.29(s),,,,
"2,3-Butanediol",1.13,,doublet,,"1.13(d), 3.61(m), 3.71(m)",,,,
"2,3-Butanediol",3.61,,multiplet,,"1.13(d), 3.61(m), 3.71(m)",,,,
"2,3-Butanediol",3.71,,multiplet,,"1.13(d), 3.61(m), 3.71(m)",,,,
"2-amino-4-[5-(4-amino-2-oxopyrimidin-1(2H)-yl)-4-hydroxy-4,5-dihydrofuran-2-ylmethylsulfanyl)butanoic acid",2.07,,multiplet,,"2.07(m), 2.61(td), 3.35(q), 3.73(t), 4.88(d), 5.24(d), 5.93(d), 6.13(d), 7.40(d)",,,,
"2-amino-4-[5-(4-amino-2-oxopyrimidin-1(2H)-yl)-4-hydroxy-4,5-dihydrofuran-2-ylmethylsulfanyl)butanoic acid",2.61,,triplet,,"2.07(m), 2.61(td), 3.35(q), 3.73(t), 4.88(d), 5.24(d), 5.93(d), 6.13(d), 7.40(d)",,,,
"2-amino-4-[5-(4-amino-2-oxopyrimidin-1(2H)-yl)-4-hydroxy-4,5-dihydrofuran-2-ylmethylsulfanyl)butanoic acid",3.35,triplet,,,"2.07(m), 2.61(td), 3.35(q), 3.73(t), 4.88(d), 5.24(d), 5.93(d), 6.13(d), 7.40(d)",,,,
"2-amino-4-[5-(4-amino-2-oxopyrimidin-1(2H)-yl)-4-hydroxy-4,5-dihydrofuran-2-ylmethylsulfanyl)butanoic acid",3.73,,triplet,,"2.07(m), 2.61(td), 3.35(q), 3.73(t), 4.88(d), 5.24(d), 5.93(d), 6.13(d), 7.40(d)",,,,
"2-amino-4-[5-(4-amino-2-oxopyrimidin-1(2H)-yl)-4-hydroxy-4,5-dihydrofuran-2-ylmethylsulfanyl)butanoic acid",4.88,doublet,,,"2.07(m), 2.61(td), 3.35(q), 3.73(t), 4.88(d), 5.24(d), 5.93(d), 6.13(d), 7.40(d)",,,,
"2-amino-4-[5-(4-amino-2-oxopyrimidin-1(2H)-yl)-4-hydroxy-4,5-dihydrofuran-2-ylmethylsulfanyl)butanoic acid",5.24,doublet,,,"2.07(m), 2.61(td), 3.35(q), 3.73(t), 4.88(d), 5.24(d), 5.93(d), 6.13(d), 7.40(d)",,,,
"2-amino-4-[5-(4-amino-2-oxopyrimidin-1(2H)-yl)-4-hydroxy-4,5-dihydrofuran-2-ylmethylsulfanyl)butanoic acid",5.93,doublet,,,"2.07(m), 2.61(td), 3.35(q), 3.73(t), 4.88(d), 5.24(d), 5.93(d), 6.13(d), 7.40(d)",,,,
"2-amino-4-[5-(4-amino-2-oxopyrimidin-1(2H)-yl)-4-hydroxy-4,5-dihydrofuran-2-ylmethylsulfanyl)butanoic acid",6.13,doublet,,,"2.07(m), 2.61(td), 3.35(q), 3.73(t), 4.88(d), 5.24(d), 5.93(d), 6.13(d), 7.40(d)",,,,
"2-amino-4-[5-(4-amino-2-oxopyrimidin-1(2H)-yl)-4-hydroxy-4,5-dihydrofuran-2-ylmethylsulfanyl)butanoic acid",7.4,,doublet,,"2.07(m), 2.61(td), 3.35(q), 3.73(t), 4.88(d), 5.24(d), 5.93(d), 6.13(d), 7.40(d)",,,,
2-furoylglycine,3.94,CH2,doublet,,"3.94(d), 6.64(dd), 7.17(d), 7.70(d=br. s)",,,,
2-furoylglycine,6.64,H4-ring,doublet of doublets,,"3.94(d), 6.64(dd), 7.17(d), 7.70(d=br. s)",,,,
2-furoylglycine,7.17,H3-ring,doublet,,"3.94(d), 6.64(dd), 7.17(d), 7.70(d=br. s)",,,,
2-furoylglycine,7.7,H5-ring,doblet=br s,,"3.94(d), 6.64(dd), 7.17(d), 7.70(d=br. s)",,,,
2-hydroxy-3-methylvalerate (HMVA),0.87,,triplet,,"0.87(t), 0.93(d), 1.16(m), 1.36(m), 1.76(m), 3.88(d)",,,,
2-hydroxy-3-methylvalerate (HMVA),0.93,,doublet,,"0.87(t), 0.93(d), 1.16(m), 1.36(m), 1.76(m), 3.88(d)",,,,
2-hydroxy-3-methylvalerate (HMVA),1.16,,multiplet,,"0.87(t), 0.93(d), 1.16(m), 1.36(m), 1.76(m), 3.88(d)",,,,
2-hydroxy-3-methylvalerate (HMVA),1.36,,multiplet,,"0.87(t), 0.93(d), 1.16(m), 1.36(m), 1.76(m), 3.88(d)",,,,
2-hydroxy-3-methylvalerate (HMVA),1.76,,multiplet,,"0.87(t), 0.93(d), 1.16(m), 1.36(m), 1.76(m), 3.88(d)",,,,
2-hydroxy-3-methylvalerate (HMVA),3.88,,doublet,,"0.87(t), 0.93(d), 1.16(m), 1.36(m), 1.76(m), 3.88(d)",,,,
2-hydroxy-5-methoxybenzoate,3.72,,singlet,,"3.72(s), 6.89(d), 7.14(dd), 7.24(d)",,,,
2-hydroxy-5-methoxybenzoate,6.89,,doublet,,"3.72(s), 6.89(d), 7.14(dd), 7.24(d)",,,,
2-hydroxy-5-methoxybenzoate,7.14,,doublet of doublets,,"3.72(s), 6.89(d), 7.14(dd), 7.24(d)",,,,
2-hydroxy-5-methoxybenzoate,7.24,,doublet,,"3.72(s), 6.89(d), 7.14(dd), 7.24(d)",,,,
2-hydroxyglutarate,1.83,,multiplet,,"1.83(m), 1.98(m), 2.25(m), 4.01(dd)",,,,
2-hydroxyglutarate,1.98,,multiplet,,"1.83(m), 1.98(m), 2.25(m), 4.01(dd)",,,,
2-hydroxyglutarate,2.25,,multiplet,,"1.83(m), 1.98(m), 2.25(m), 4.01(dd)",,,,
2-hydroxyglutarate,4.01,,doublet of doublets,,"1.83(m), 1.98(m), 2.25(m), 4.01(dd)",,,,
2-methyl nicotinic acid,2.73,CH3,singlet,,"2.73(s), 7.61(dd), 8.20(dd), 8.50(dd)",,,,
2-methyl nicotinic acid,7.61,H5-ring,doublet of doublets,,"2.73(s), 7.61(dd), 8.20(dd), 8.50(dd)",,,,
2-methyl nicotinic acid,8.20,H4-ring ,dd,,"2.73(s), 7.61(dd), 8.20(dd), 8.50(dd)",,,,
2-methyl nicotinic acid,8.50,H6-ring ,doublet of doublets,,"2.73(s), 7.61(dd), 8.20(dd), 8.50(dd)",,,,
2-methylbutyrate,0.86,,triplet,,"0.86(t), 1.05(d), 1.38(m), 1.50(m), 2.21(m)",,,,
2-methylbutyrate,1.05,,doublet,,"0.86(t), 1.05(d), 1.38(m), 1.50(m), 2.21(m)",,,,
2-methylbutyrate,1.38,,multiplet,,"0.86(t), 1.05(d), 1.38(m), 1.50(m), 2.21(m)",,,,
2-methylbutyrate,1.5,,multiplet,,"0.86(t), 1.05(d), 1.38(m), 1.50(m), 2.21(m)",,,,
2-methylbutyrate,2.21,,multiplet,,"0.86(t), 1.05(d), 1.38(m), 1.50(m), 2.21(m)",,,,
2-Methylbutyrylglycine,0.88,,triplet,,"0.88(t), 1.10(d), 1.49(m), 2.33(m), 3.77(d), 7.91(bs) from Gryff-Keller (2012)",,,,
2-Methylbutyrylglycine,0.94,,triplet,,"0.94(t), 1.18(d), 1.48(m), 1.69(m), 2.24(m), 4.10(d)",,,,
2-Methylbutyrylglycine,1.1,,doublet,,"0.88(t), 1.10(d), 1.49(m), 2.33(m), 3.77(d), 7.91(bs) from Gryff-Keller (2012)",,,,
2-Methylbutyrylglycine,1.18,,doublet,,"0.94(t), 1.18(d), 1.48(m), 1.69(m), 2.24(m), 4.10(d)",,,,
2-Methylbutyrylglycine,1.48,,multiplet,,"0.94(t), 1.18(d), 1.48(m), 1.69(m), 2.24(m), 4.10(d)",,,,
2-Methylbutyrylglycine,1.49,,multiplet,,"0.88(t), 1.10(d), 1.49(m), 2.33(m), 3.77(d), 7.91(bs) from Gryff-Keller (2012)",,,,
2-Methylbutyrylglycine,1.69,,multiplet,,"0.94(t), 1.18(d), 1.48(m), 1.69(m), 2.24(m), 4.10(d)",,,,
2-Methylbutyrylglycine,2.24,,multiplet,,"0.94(t), 1.18(d), 1.48(m), 1.69(m), 2.24(m), 4.10(d)",,,,
2-Methylbutyrylglycine,2.33,,multiplet,,"0.88(t), 1.10(d), 1.49(m), 2.33(m), 3.77(d), 7.91(bs) from Gryff-Keller (2012)",,,,
2-Methylbutyrylglycine,3.77,,doublet,,"0.88(t), 1.10(d), 1.49(m), 2.33(m), 3.77(d), 7.91(bs) from Gryff-Keller (2012)",,,,
2-Methylbutyrylglycine,4.1,,doublet,,"0.94(t), 1.18(d), 1.48(m), 1.69(m), 2.24(m), 4.10(d)",,,,
2-Methylbutyrylglycine,7.91,NH,broad singlet,,"0.88(t), 1.10(d), 1.49(m), 2.33(m), 3.77(d), 7.91(bs) from Gryff-Keller (2012)",,,,
2-methylglutarate,1.07,,doublet,,"1.07(d), 1.60(m), 1.76(m), 2.15(t), 2.25(m)",,,,
2-methylglutarate,1.6,,multiplet,,"1.07(d), 1.60(m), 1.76(m), 2.15(t), 2.25(m)",,,,
2-methylglutarate,1.76,,multiplet,,"1.07(d), 1.60(m), 1.76(m), 2.15(t), 2.25(m)",,,,
2-methylglutarate,2.15,,triplet,,"1.07(d), 1.60(m), 1.76(m), 2.15(t), 2.25(m)",,,,
2-methylglutarate,2.25,,multiplet,,"1.07(d), 1.60(m), 1.76(m), 2.15(t), 2.25(m)",,,,
2-methylhippurate,2.38,,singlet,,"2.38(s), 4.03(d), 7.31(m), 7.43(m), 8.50(bs)",,,,
2-methylhippurate,4.03,,doublet,,"2.38(s), 4.03(d), 7.31(m), 7.43(m), 8.50(bs)",,,,
2-methylhippurate,7.31,,multiplet,,"2.38(s), 4.03(d), 7.31(m), 7.43(m), 8.50(bs)",,,,
2-methylhippurate,7.43,,multiplet,,"2.38(s), 4.03(d), 7.31(m), 7.43(m), 8.50(bs)",,,,
2-methylhippurate,8.5,,broad singlet,,"2.38(s), 4.03(d), 7.31(m), 7.43(m), 8.50(bs)",,,,
2-oxoadipate (alpha-ketoadipate),1.82,gamma-CH2,multiplet,,"1.82 (m), 2.22(t), 2.77(t)",1,0,0,
2-oxoadipate (alpha-ketoadipate),2.22,deltaCH2,triplet,,"1.82 (m), 2.22(t), 2.77(t)",1,0,0,
2-oxoadipate (alpha-ketoadipate),2.77,beta-CH2,triplet,,"1.82 (m), 2.22(t), 2.77(t)",1,0,0,
2-phenylglycine,7.44,"H2,6-ring",multiplet,,"7.44(m), 7.48(m)",,,,
2-phenylglycine,7.48,"H4,3,5-ring",multiplet,,"7.44(m), 7.48(m)",,,,
2-phenylpropionate,1.41,,doublet,,"1.41(d), 3.64(q), 7.29(t), 7.34(d), 7.48(t)",,,,
2-phenylpropionate,3.64,,quartet,,"1.41(d), 3.64(q), 7.29(t), 7.34(d), 7.48(t)",,,,
2-phenylpropionate,7.29,,triplet,,"1.41(d), 3.64(q), 7.29(t), 7.34(d), 7.48(t)",,,,
2-phenylpropionate,7.34,,doublet,,"1.41(d), 3.64(q), 7.29(t), 7.34(d), 7.48(t)",,,,
2-phenylpropionate,7.38,,triplet,,"1.41(d), 3.64(q), 7.29(t), 7.34(d), 7.48(t)",,,,
3-(3-hydroxyphenyl)-3-hydroxypropionic acid (HPHPA),2.61,,doublet of doublets,,"2.61(dd), 2.68(dd), 5.03(dd), 6.84(dd), 6.91(br), 6.97(d), 7.30(t)",,,,
3-(3-hydroxyphenyl)-3-hydroxypropionic acid (HPHPA),2.68,,doublet of doublets,,"2.61(dd), 2.68(dd), 5.03(dd), 6.84(dd), 6.91(br), 6.97(d), 7.30(t)",,,,
3-(3-hydroxyphenyl)-3-hydroxypropionic acid (HPHPA),5.03,,doublet of doublets,,"2.61(dd), 2.68(dd), 5.03(dd), 6.84(dd), 6.91(br), 6.97(d), 7.30(t)",,,,
3-(3-hydroxyphenyl)-3-hydroxypropionic acid (HPHPA),6.84,,doublet of doublets,,"2.61(dd), 2.68(dd), 5.03(dd), 6.84(dd), 6.91(br), 6.97(d), 7.30(t)",,,,
3-(3-hydroxyphenyl)-3-hydroxypropionic acid (HPHPA),6.91,,broadsingulte,,"2.61(dd), 2.68(dd), 5.03(dd), 6.84(dd), 6.91(br), 6.97(d), 7.30(t)",,,,
3-(3-hydroxyphenyl)-3-hydroxypropionic acid (HPHPA),6.97,,doublet,,"2.61(dd), 2.68(dd), 5.03(dd), 6.84(dd), 6.91(br), 6.97(d), 7.30(t)",,,,
3-(3-hydroxyphenyl)-3-hydroxypropionic acid (HPHPA),7.3,,triplet,,"2.61(dd), 2.68(dd), 5.03(dd), 6.84(dd), 6.91(br), 6.97(d), 7.30(t)",,,,
3-(p-hydroxyphenyl)propionic acid,2.50,βCH2,triplet,,"2.50(t), 2.82(t), 6.85(d), 7/17(d)",,,,
3-(p-hydroxyphenyl)propionic acid,2.82,αCH2,triplet,,"2.50(t), 2.82(t), 6.85(d), 7/17(d)",,,,
3-(p-hydroxyphenyl)propionic acid,6.85,"H3, H5-ring",d,,"2.50(t), 2.82(t), 6.85(d), 7/17(d)",,,,
3-(p-hydroxyphenyl)propionic acid,7.17,"H2, H6-ring",d,,"2.50(t), 2.82(t), 6.85(d), 7/17(d)",,,,
"3,4-Dihydroxybenzenacetic acid",3.38,,singlet,,"3.38(s), 6.70(dd), 6.81(d), 6.85(d)",,,,
"3,4-Dihydroxybenzenacetic acid",6.7,,doublet of doublets,,"3.38(s), 6.70(dd), 6.81(d), 6.85(d)",,,,
"3,4-Dihydroxybenzenacetic acid",6.81,,doublet,,"3.38(s), 6.70(dd), 6.81(d), 6.85(d)",,,,
"3,4-Dihydroxybenzenacetic acid",6.85,,doublet,,"3.38(s), 6.70(dd), 6.81(d), 6.85(d)",,,,
"3,4-Dihydroxymandelate",4.87,CH,singlet,0.62,"4.87(s), 6.87(d), 6.9(s), 6.94(d)",,,,
"3,4-Dihydroxymandelate",6.87,UNASSIGNED,doublet,0.48,"4.87(s), 6.87(d), 6.9(s), 6.94(d)",,,,
"3,4-Dihydroxymandelate",6.9,UNASSIGNED,singlet,1,"4.87(s), 6.87(d), 6.9(s), 6.94(d)",,,,
"3,4-Dihydroxymandelate",6.94,UNASSIGNED,doublet,0.74,"4.87(s), 6.87(d), 6.9(s), 6.94(d)",,,,
"3,4-Dihydroxyphenylacetate",3.4,CH2,singlet,1,"3.40(s), 6.72(d), 6.82(s), 6.87(d)",,,,
"3,4-Dihydroxyphenylacetate",6.72,H6,doublet,0.17,"3.40(s), 6.72(d), 6.82(s), 6.87(d)",,,,
"3,4-Dihydroxyphenylacetate",6.82,H2,singlet,0.39,"3.40(s), 6.72(d), 6.82(s), 6.87(d)",,,,
"3,4-Dihydroxyphenylacetate",6.87,H5,doublet,0.28,"3.40(s), 6.72(d), 6.82(s), 6.87(d)",,,,
"3,4-Dihydroxyphenylalanine (L-DOPA)",2.99,CH2(ii),doublet of doublets,0.37,"2.99(d), 3.16(d), 3.92(d), 6.73(d), 6.84(d), 6.90(d)",,,,
"3,4-Dihydroxyphenylalanine (L-DOPA)",3.16,CH2(I),doublet of doublets,0.37,"2.99(d), 3.16(d), 3.92(d), 6.73(d), 6.84(d), 6.90(d)",,,,
"3,4-Dihydroxyphenylalanine (L-DOPA)",3.92,CH,doublet of doublets,0.29,"2.99(d), 3.16(d), 3.92(d), 6.73(d), 6.84(d), 6.90(d)",,,,
"3,4-Dihydroxyphenylalanine (L-DOPA)",6.73,H6,doublet,0.84,"2.99(d), 3.16(d), 3.92(d), 6.73(d), 6.84(d), 6.90(d)",,,,
"3,4-Dihydroxyphenylalanine (L-DOPA)",6.84,H2,singlet,1,"2.99(d), 3.16(d), 3.92(d), 6.73(d), 6.84(d), 6.90(d)",,,,
"3,4-Dihydroxyphenylalanine (L-DOPA)",6.9,H5,doublet,0.49,"2.99(d), 3.16(d), 3.92(d), 6.73(d), 6.84(d), 6.90(d)",,,,
"3,4-Dihydroxyphenylglycol",3.71,CH2,doublet,0.73,"3.71(d), 6.84(d), 6.93(d)",,,,
"3,4-Dihydroxyphenylglycol",6.84,H5,doublet,0.36,"3.71(d), 6.84(d), 6.93(d)",,,,
"3,4-Dihydroxyphenylglycol",6.93,H2 and H6,doublet,1,"3.71(d), 6.84(d), 6.93(d)",,,,
"3,4-Dihydroxyphneylpropionate (3,4-DHPP)",2.98,,doublet,,"2.98(dd), 3.14(dd), 3.92(dd), 6.72(dd), 6.82(dd), 6.89(dd)",,,,
"3,4-Dihydroxyphneylpropionate (3,4-DHPP)",3.14,,doublet,,"2.98(dd), 3.14(dd), 3.92(dd), 6.72(dd), 6.82(dd), 6.89(dd)",,,,
"3,4-Dihydroxyphneylpropionate (3,4-DHPP)",3.92,,doublet of doublets,,"2.98(dd), 3.14(dd), 3.92(dd), 6.72(dd), 6.82(dd), 6.89(dd)",,,,
"3,4-Dihydroxyphneylpropionate (3,4-DHPP)",6.72,,doublet of doublets,,"2.98(dd), 3.14(dd), 3.92(dd), 6.72(dd), 6.82(dd), 6.89(dd)",,,,
"3,4-Dihydroxyphneylpropionate (3,4-DHPP)",6.82,,doublet of doublets,,"2.98(dd), 3.14(dd), 3.92(dd), 6.72(dd), 6.82(dd), 6.89(dd)",,,,
"3,4-Dihydroxyphneylpropionate (3,4-DHPP)",6.89,,doublet of doublets,,"2.98(dd), 3.14(dd), 3.92(dd), 6.72(dd), 6.82(dd), 6.89(dd)",,,,
3.7-dimethylurate,3.35,,singlet,,"3.35(s), 3.40(s)",,,,
3.7-dimethylurate,3.4,,singlet,,"3.35(s), 3.40(s)",,,,
3-carboxy-2-methyl-3-oxopropanamine,1.08,,doublet,,"1.08(d), 2.49(m), 3.19(m), 3.56(m), 3.72(m)",1,0,0,
3-carboxy-2-methyl-3-oxopropanamine,2.49,,multiplet,,"1.08(d), 2.49(m), 3.19(m), 3.56(m), 3.72(m)",1,0,0,
3-carboxy-2-methyl-3-oxopropanamine,3.19,,multiplet,,"1.08(d), 2.49(m), 3.19(m), 3.56(m), 3.72(m)",1,0,0,
3-carboxy-2-methyl-3-oxopropanamine,3.56,,multiplet,,"1.08(d), 2.49(m), 3.19(m), 3.56(m), 3.72(m)",1,0,0,
3-carboxy-2-methyl-3-oxopropanamine,3.72,,multiplet,,"1.08(d), 2.49(m), 3.19(m), 3.56(m), 3.72(m)",1,0,0,
3-hydroxy-3-methylglutarate,1.32,,singlet,,"1.32(s), 2.43(q)",,,,
