Molecule,1H Shift (delta) (ppm),Multiplicity,J constant (Hz),Biologic origin,Source,Author
Glycodeoxycholic acid,0.711,,,Human bile acids,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Taurocholic acid,0.714,,,Human bile acids,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Glycocholic acid,0.717,,,Human bile acids,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Cholic acid,0.718,,,Human bile acids,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Lipoprotein (decrease),0.83,Manage carefuly: Private Information,,Metabolites in the response to cigarette smoke  ,Investigations into biochemical effects of acute cigarette mainstream smoke inhalation using metabolomic (NMR spestroscopic) serum analysis,Metabometrix Ltd. 2006
2-Hydroxyisovalerate,0.84,,,,,
LDL1,0.85,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
LDL1,0.85,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
LDL1,0.85,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
 LDL1,0.85,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
LDL1,0.85,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
LDL1,0.85,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Ethosuccimide,0.86,Triplet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Lipids,0.87,Multiplet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Lipids,0.87,Triplet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
VLDL1,0.88,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
VLDL1,0.88,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
VLDL1,0.88,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Depakine,0.88,Triplet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Lipids (triglycerides & Fatty acids),0.89,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Fatty acids,0.89,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Lipid,0.89,Multiplet,,Metabolites,Miscelaneous list,Unknown
Lipid,0.89,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
3-methyl-2-oxovalerate,0.89,,,,,
Butyrate,0.9,Triplet,,,New Metabolite Profiling Strategies for Diagnosis of Crohn's Disease and Colon Cancer,Fatima Khan
Triglycerides,0.9,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
α-hydroxybutyrate,0.9,,,,,
Triglycerides,0.91,,,Human liver tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Isoleucine,0.91,Triplet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Leucine,0.91,Doublet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Leucine,0.91,Doublet,,Human intestine,Table 3: Metabolic changes between intestinal compartments,Unknown
Fatty acids,0.91,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Leucine,0.91,Doublet,,Metabolites,Miscelaneous list,Unknown
Leucine,0.91,Doublet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
VLDL1,0.92,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
VLDL1,0.92,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Isoleucine,0.93,Triplet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Fatty acids,0.93,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Isoleucine,0.93,Triplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Leucine,0.94,Triplet,,Human liver tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Leucine,0.94,Doublet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Isoleucine,0.94,Triplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Leucine,0.94,Doublet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Isoleucine,0.94,Triplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Leucine,0.94,Doublet,,Metabolites,Miscelaneous list,Unknown
Leucine,0.94,Doublet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
2-oxoisocaproate,0.94,,,,,
Leucine,0.95,Doublet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Leucine,0.95,Doublet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Leucine,0.96,Doublet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Leucine,0.96,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Triglyceride,0.96,Singlet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Triglyceride,0.96,Singlet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Triglyceride,0.96,Singlet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Triglyceride,0.96,Singlet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Leucine,0.96,Triplet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Leucine,0.96,Doublet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Leucine,0.96,Doublet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Leucine,0.96,,,,,
Valine,0.97,Doublet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Valine,0.97,Doublet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
α-hydroxy-N-valerate,0.97,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Leucine,0.97,Doublet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Veline,0.97,Doublet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
2-Hydroxyisovalerate,0.97,,,,,
Valine,0.9764,Doublet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Valine,0.98,Doublet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Valine,0.98,Doublet,,Metabolites,Miscelaneous list,Unknown
Valine,0.98,Doublet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Isoleucine,0.99,Doublet,,Human liver tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Isoleucine,0.99,Doublet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Valine,0.99,Doublet,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Isoleucine,0.99,Triplet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Isoleucine,0.99,Doublet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Isoleucine,0.99,Triplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Valine,0.99,Doublet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Isoleucine,0.99,Doublet,,Metabolites,Miscelaneous list,Unknown
Isoleucine,0.99,Doublet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Valine,0.99,,,,,
Isoleucine,1,Doublet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Isoleucine,1.01,Doublet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Isoleucine,1.01,,,,,
Valine,1.02,Doublet,,Human liver tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Valine,1.02,Doublet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Valine,1.02,Doublet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Isoleucine,1.02,Doublet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Isoleucine,1.02,Doublet,,Human intestine,Table 3: Metabolic changes between intestinal compartments,Unknown
Isoleucine,1.02,Doublet,,Metabolites,Miscelaneous list,Unknown
Isoleucine,1.02,Doublet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Valine,1.0271,Doublet,7.071,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Valine,1.04,Doublet,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Valine,1.04,Doublet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Valine,1.04,Doublet,,Human intestine,Table 3: Metabolic changes between intestinal compartments,Unknown
Valine,1.04,Doublet,,Metabolites,Miscelaneous list,Unknown
Valine,1.04,Doublet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Valine,1.04,,,,,
Valine,1.05,Doublet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Valine,1.05,Doublet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Propionate,1.06,Triplet,,,New Metabolite Profiling Strategies for Diagnosis of Crohn's Disease and Colon Cancer,Fatima Khan
Propionate,1.06,Triplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Propionate,1.06,Triplet,,Human intestine,Table 3: Metabolic changes between intestinal compartments,Unknown
β-hydroxybutyrate,1.07,,,,,
Ureidoisobutyric acid,1.09,Doublet,,Pyrimidine pathway,4. Results 4.1 Pyrimidine Metabolites,Unknown
3-methyl-2-oxovalerate,1.1,,,,,
"1,2-propanediol",1.12,Doublet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
2-oxoisovalerate,1.12,,,,,
Propylene glycol,1.13,Doublet,,Food additives in body fluid - Emulsifier,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Propylene glycol,1.13,Doublet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Fatty acids,1.17,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Ethanol,1.17,Triplet,,Food additives in body fluid - Alcoholic drinks,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Ethanol,1.18,Triplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Ethanol,1.18,Triplet,,Human intestine,Table 3: Metabolic changes between intestinal compartments,Unknown
β-aminoisobutyric acid,1.18,Doublet,,Pyrimidine pathway,4. Results 4.1 Pyrimidine Metabolites,Unknown
Ethanol,1.18,Triplet,,Metabolites,Miscelaneous list,Unknown
Ethanol,1.18,Triplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
"5,6 Dihydrothymine",1.19,Doublet,,Pyrimidine pathway,4. Results 4.1 Pyrimidine Metabolites,Unknown
"5,6-dihydrothymine",1.19,Doublet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
β-hydroxybutyrate,1.2,Doublet,,Metabolites in human hepatic bile,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
β-hydroxybutyrate,1.2,Doublet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
3-hydroxybutyrate,1.2,,,,,
β-hydroxybutyrate,1.21,Doublet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
β-hydroxybutyrate,1.21,Doublet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
β-hydroxybutyrate,1.21,Doublet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Fuc-GlcNAc-Asn,1.21,Doublet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
GalNAcFuc (Blood group A trisaccharide),1.21,Doublet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
GalNAcFuc (Blood group A trisaccharide),1.23,Doublet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
LDL2,1.24,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
LDL2,1.24,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
LDL2,1.24,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
LDL2,1.24,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
LDL2,1.24,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
LDL2,1.24,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
LDL2,1.24,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Isoleucine,1.24,Multiplet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Phospholipids,1.25,,,Metabolites in human hepatic bile,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Isoleucine,1.25,,,Metabolites,Miscelaneous list,Unknown
Isoleucine,1.25,,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
3-Aminoisobutyric acid,1.26,Doublet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Lipids (triglycerides & Fatty acids),1.27,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Lipids ,1.27,Multiplet,,Human intestine,Table 3: Metabolic changes between intestinal compartments,Unknown
Lipid,1.27,Multiplet,,Metabolites,Miscelaneous list,Unknown
Lipid,1.27,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
VLDL2,1.28,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
VLDL2,1.28,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
VLDL2,1.28,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
LDL2,1.28,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
VLDL2,1.28,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
VLDL2,1.28,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
VLDL2,1.28,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
VLDL2,1.28,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Ethosuccimide,1.28,Singlet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Lipoprotein (decrease),1.28,,,Metabolites in the response to cigarette smoke  ,Investigations into biochemical effects of acute cigarette mainstream smoke inhalation using metabolomic (NMR spestroscopic) serum analysis,Metabometrix Ltd. 2006
Isoleucine,1.28,Multiplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Fatty acids,1.29,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Oxamidocoumarin,1.29,Triplet,,Naturally occurring coumarin (3-amidocoumarin derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
Lipids,1.29,Multiplet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Triglycerides,1.3,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Triglyceride,1.3,,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Lipids,1.3,Multiplet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Depakine,1.3,Multiplet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Threonine,1.3,Doublet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Triglycerides,1.31,,,Human liver tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Threonine,1.31,Doublet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Lactate,1.3142,Doublet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Threonine,1.3158,Doublet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Threonine,1.32,Doublet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Lactate,1.32,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Lactate,1.32,Doublet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Threonine,1.32,Doublet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Threonine,1.32,Doublet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Lactate,1.32,Doublet,,Metabolites,Miscelaneous list,Unknown
Threonine,1.32,Doublet,,Metabolites,Miscelaneous list,Unknown
Lactate,1.32,Doublet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Threonine,1.32,Doublet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Lactate (decrease),1.32,,,Metabolites in the response to cigarette smoke  ,Investigations into biochemical effects of acute cigarette mainstream smoke inhalation using metabolomic (NMR spestroscopic) serum analysis,Metabometrix Ltd. 2006
Lactate,1.32,Doublet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Threonine,1.33,Doublet,,,New Metabolite Profiling Strategies for Diagnosis of Crohn's Disease and Colon Cancer,Fatima Khan
Lactate,1.33,Doublet,,Metabolites in human hepatic bile,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Lactate,1.33,Doublet,,Human liver tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
N-acetyl-glutamate,1.33,Doublet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Lactate,1.33,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Lactate,1.33,,,,,
Threonine,1.34,Doublet,,Metabolites in human hepatic bile,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Threonine,1.34,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
